DOY,ch4_flux,air_temperature
11.979,-0.124759,302.308
12.02,2.61E-03,301.486
12.041,1.73E-02,301.346
12.062,-4.53E-02,300.629
12.083,0.153271,300.995
12.104,-0.23553,301.169
12.125,-3.14E-02,300.667
12.145,0.444775,300.325
12.166,0.126493,300.099
12.187,0.265016,299.773
12.208,0.112884,299.575
12.229,-0.216613,299.313
12.25,0.303507,299.014
12.27,0.163278,298.493
12.291,2.93E-03,298.442
21.479,-2.37E-02,299.811
21.499,-0.253719,300.456
21.52,0.568796,302.238
21.541,-0.220244,303.292
21.562,3.29E-02,304.252
21.583,-0.13653,304.71
21.604,-0.270343,305.687
21.624,0.175979,305.997
21.645,-9.03E-02,305.968
21.666,0.114574,306.226
21.687,-0.13901,306.316
21.708,7.58E-02,305.475
21.729,-0.104653,304.654
21.749,-1.16E-03,304.223
21.77,-0.108484,303.269
21.791,-0.15248,303.119
21.812,-1.15E-02,303.074
21.833,3.83E-03,302.786
21.854,0.321171,302.237
21.874,1.39E-02,301.185
21.895,-2.02E-02,300.148
21.916,-1.93E-02,300.268
21.937,5.41E-03,297.609
21.958,-2.63E-02,297.103
21.979,-5.58E-02,296.106
22,-1.72E-02,294.213
22.02,3.56E-02,293.623
22.041,-6.16E-03,293.001
22.062,-4.88E-03,292.586
22.083,5.99E-03,292.511
22.104,-2.14E-02,292.433
22.125,0.24163,292.817
22.145,-4.89E-03,293.168
22.166,2.34E-02,293.856
22.187,-0.227193,294.564
22.208,6.08E-03,294.112
22.229,2.73E-02,295.665
22.25,1.30E-02,297.415
22.27,5.01E-02,296.103
22.291,-0.166483,297.211
22.312,7.72E-03,298.659
22.333,-1.42E-02,298.89
22.354,-1.72E-02,298.959
22.374,2.98E-02,299.386
22.395,8.85E-02,299.426
22.416,-2.17E-02,299.715
22.437,1.84E-02,299.967
22.458,-8.11E-03,300.176
22.479,-7.90E-03,300.432
22.499,-3.88E-02,300.526
22.52,2.64E-02,300.597
22.541,5.73E-02,300.599
22.562,-1.69E-02,300.639
22.583,0.126856,300.764
22.604,-5.55E-02,300.796
22.624,0.159918,300.688
22.645,-0.214939,300.912
22.666,4.89E-03,300.796
22.687,-0.207715,301.001
22.729,-4.09E-02,300.288
22.749,-5.57E-02,299.903
22.77,-2.09E-02,299.529
22.791,-1.81E-02,299.094
22.812,1.48E-02,298.873
22.833,-1.81E-02,298.225
22.854,-1.11E-02,297.884
22.874,1.91E-02,297.719
22.895,1.37E-02,297.532
22.916,0.288871,297.539
22.937,1.49E-02,297.467
22.958,3.35E-02,296.987
22.979,-9.85E-03,296.743
23,-5.47E-03,296.659
23.02,-5.76E-02,296.569
23.041,-1.92E-02,296.131
23.062,6.81E-02,293.793
23.083,-2.69E-02,292.509
23.104,-3.61E-03,292.303
23.125,2.64E-02,292.012
23.145,5.76E-02,292.673
23.166,2.43E-02,295.811
23.187,0.113364,296.917
23.208,1.56E-02,296.873
23.229,1.51E-02,296.897
23.25,2.12E-03,296.17
23.27,3.17E-02,295.361
23.291,1.55E-02,295.716
23.312,1.60E-02,296.201
23.333,9.21E-03,296.82
23.354,-2.29E-02,297.162
23.374,1.12E-02,297.392
23.395,0.226338,297.612
23.416,1.32E-02,298.186
23.437,-3.70E-02,298.207
23.458,0.375709,298.982
23.499,-2.09E-02,299.699
23.52,2.82E-02,300.173
23.541,-1.25E-02,300.464
23.562,8.36E-02,300.63
23.583,5.23E-03,301.045
23.604,-6.75E-02,301.639
23.624,0.279876,302.543
23.645,3.91E-02,303.266
23.666,2.32E-02,302.562
23.687,4.01E-02,302.3
23.708,-0.131749,302.188
23.729,-0.125653,301.987
23.749,-0.126304,301.695
23.77,1.23E-02,301.024
23.791,-0.106949,300.224
23.812,-1.97E-03,300.167
23.833,0.439372,300.094
23.854,-0.12898,299.386
23.874,0.143052,299.044
23.895,3.64E-02,298.866
23.916,-3.27E-03,298.698
23.937,-4.44E-02,298.281
23.958,-9.23E-02,297.901
23.979,-9.90E-03,297.988
24,2.34E-02,297.57
24.02,-2.50E-02,296.861
24.041,1.18E-02,293.681
24.062,6.27E-02,292.655
24.083,-2.22E-02,292.471
24.104,-0.217135,292.119
24.125,0.125808,291.065
24.145,-4.86E-02,291.213
24.166,-1.00E-02,291.457
24.187,5.26E-02,290.21
24.208,-9.83E-02,290.352
24.229,5.15E-03,290.764
24.25,-1.13E-02,291.069
24.27,-6.50E-03,291.112
24.291,-1.71E-03,291.732
24.312,-0.364078,292.943
24.333,-3.32E-03,296.379
24.395,-3.07E-02,302.462
24.416,-0.131138,300.883
24.437,-4.73E-02,302.244
24.458,6.47E-02,301.94
24.479,1.67E-02,302.34
24.499,-6.37E-02,302.775
24.52,-9.56E-03,304.711
24.541,-2.64E-02,305.81
24.562,2.61E-02,307.532
