DOY,co2_flux,air_temperature,ET,,,,
16.02,2.93346,292.922,0.17064,,,,
16.041,2.53832,293.345,0.142161,,,,
16.062,2.38558,293.427,0.162582,,,,
16.083,2.61637,293.447,0.141851,,,,
16.104,2.19411,293.678,0.146795,,,,
16.125,1.43038,293.742,0.172126,,,,
16.145,1.93693,293.785,0.144727,,,,
16.166,1.62779,294.174,0.146877,,,,
16.187,1.40735,294.349,0.173256,,,,
16.208,1.77818,294.209,9.80E-02,,,,
16.229,1.79259,294.488,9.52E-02,,,,
16.25,18.6078,296.58,0.13158,,,,
16.291,-6.71865,294.798,2.09E-02,,,,
16.312,18.5935,296.6,0.194577,,,,
16.333,-0.270329,294.023,0.149448,,,,
16.354,-0.217666,294.094,0.1774,,,,
16.374,-2.84311,294.506,0.258573,,,,
16.395,-1.68103,294.357,0.240299,,,,
16.416,-5.47856,294.645,0.28042,,,,
16.437,-4.85539,294.127,0.263384,,,,
16.458,-12.026,293.96,0.281118,,,,
16.499,-7.92329,294.898,0.254464,,,,
16.604,-7.7029,295.764,0.497699,,,,
16.624,-10.5537,295.895,0.549318,,,,
16.645,-10.0752,296.552,0.487891,,,,
16.666,-5.0558,296.313,0.314886,,,,
16.687,-5.6805,296.275,0.297195,,,,
16.749,-3.77231,295.172,0.435653,,,,
16.77,-2.56427,295.329,0.338146,,,,
16.791,-3.47495,295.371,0.252426,,,,
16.812,0.147234,295.174,0.258563,,,,
16.833,-0.552545,295.117,0.259421,,,,
16.854,-3.12611,294.676,0.126831,,,,
16.874,1.51992,294.775,0.130056,,,,
16.895,2.06435,294.807,0.142802,,,,
16.916,-10.4207,294.461,9.20E-02,,,,
16.937,-1.39249,294.188,0.228778,,,,
16.958,2.57957,294.155,0.166627,,,,
16.979,2.35715,294.065,0.14463,,,,
17,1.05869,294.148,0.107864,,,,
17.02,-6.00008,294.165,0.134516,,,,
17.041,2.51736,293.724,7.06E-02,,,,
17.062,1.4503,293.611,7.99E-02,,,,
17.083,1.4263,293.434,7.72E-02,,,,
17.104,1.77983,293.704,8.51E-02,,,,
17.125,1.42479,293.988,0.109535,,,,
17.145,1.09073,293.753,9.87E-02,,,,
17.166,1.28928,293.687,9.84E-02,,,,
17.187,1.47327,294.008,0.128077,,,,
17.208,1.26229,293.827,9.06E-02,,,,
17.229,1.82409,293.496,6.10E-02,,,,
17.25,0.404983,293.615,6.50E-02,,,,
17.27,2.24074,293.542,7.14E-02,,,,
